Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,3.302083,2.906250,2.916667,2.916667,1532400
1980-03-24,0.000000,2.916667,2.239583,2.541667,2.541667,3344400
1980-03-31,0.000000,2.770833,2.520833,2.635417,2.635417,1432800
1980-04-07,0.000000,2.770833,2.500000,2.635417,2.635417,1538400
1980-04-14,0.000000,2.645833,2.270833,2.322917,2.322917,2169600
1980-04-21,0.000000,2.812500,2.281250,2.708333,2.708333,3043200
1980-04-28,0.000000,2.791667,2.416667,2.468750,2.468750,1702800
1980-05-05,0.000000,2.729167,2.500000,2.541667,2.541667,1180800
1980-05-12,0.000000,2.781250,2.520833,2.666667,2.666667,1167600
1980-05-19,0.000000,2.989583,2.666667,2.989583,2.989583,1942800
1980-05-26,0.000000,3.208333,3.000000,3.166667,3.166667,1622400
1980-06-02,0.000000,3.166667,2.968750,3.000000,3.000000,1286400
1980-06-09,0.000000,3.104167,2.864583,3.093750,3.093750,1544400
1980-06-16,0.000000,3.093750,2.927083,2.927083,2.927083,1383600
1980-06-23,0.000000,3.125000,2.906250,3.041667,3.041667,982800
1980-06-30,0.000000,3.364583,3.010417,3.343750,3.343750,972000
1980-07-07,0.000000,3.635417,3.333333,3.614583,3.614583,2328000
1980-07-14,0.000000,3.822917,3.604167,3.614583,3.614583,2060400
1980-07-21,0.000000,3.656250,3.489583,3.510417,3.510417,1906800
1980-07-28,0.000000,4.291667,3.458333,4.260417,4.260417,3224400
1980-08-04,0.000000,4.416667,4.208333,4.270833,4.270833,1840800
1980-08-11,0.000000,4.500000,4.270833,4.333333,4.333333,1856400
1980-08-18,0.000000,4.583333,3.906250,4.562500,4.562500,2742000
1980-08-25,0.000000,4.750000,4.135417,4.270833,4.270833,1863600
1980-09-01,0.000000,4.541667,4.177083,4.531250,4.531250,1351200
1980-09-08,0.000000,4.562500,4.218750,4.395833,4.395833,1636800
1980-09-15,0.000000,5.125000,4.312500,5.031250,5.031250,2586000
1980-09-22,0.000000,5.822917,5.020833,5.114583,5.114583,3337200
1980-09-29,0.000000,5.239583,4.718750,5.177083,5.177083,3285600
1980-10-06,0.000000,5.541667,5.166667,5.166667,5.166667,1749600
1980-10-13,0.000000,5.395833,5.062500,5.093750,5.093750,1215600
1980-10-20,0.000000,5.250000,5.020833,5.250000,5.250000,1106400
1980-10-27,0.000000,5.166667,4.520833,4.791667,4.791667,1861800
1980-11-03,0.000000,5.916667,4.791667,5.145833,5.145833,2025600
1980-11-10,0.000000,6.583333,5.187500,6.333333,6.333333,1845600
1980-11-17,0.000000,7.416667,6.062500,6.791667,6.791667,2926800
1980-11-24,0.000000,7.145833,6.520833,6.958333,6.958333,1155600
1980-12-01,0.000000,7.125000,6.166667,6.250000,6.250000,1677000
1980-12-08,0.000000,6.250000,5.375000,5.854167,5.854167,3693000
1980-12-15,0.000000,6.000000,4.937500,4.958333,4.958333,2791200
1980-12-22,0.000000,5.708333,4.916667,5.687500,5.687500,2445600
1980-12-29,0.000000,6.041667,5.416667,5.875000,5.875000,1257000
1981-01-05,0.000000,5.979167,4.541667,4.541667,4.541667,4319400
1981-01-12,0.000000,4.791667,4.562500,4.729167,4.729167,2768400
1981-01-19,0.000000,4.833333,4.291667,4.375000,4.375000,1512600
1981-01-26,0.000000,4.270833,3.895833,3.937500,3.937500,3203400
1981-02-02,0.000000,4.416667,3.333333,4.291667,4.291667,3140400
1981-02-09,0.000000,4.395833,3.729167,3.770833,3.770833,915000
1981-02-16,0.000000,4.041667,3.666667,3.708333,3.708333,1876200
1981-02-23,0.000000,4.000000,3.520833,3.875000,3.875000,2574600
1981-03-02,0.000000,4.166667,3.729167,3.833333,3.833333,1188600
1981-03-09,0.000000,4.125000,3.729167,3.958333,3.958333,1006800
1981-03-16,0.000000,4.437500,3.937500,4.166667,4.166667,1666200
1981-03-23,0.000000,4.541667,4.166667,4.291667,4.291667,2033400
1981-03-30,0.000000,4.395833,4.041667,4.062500,4.062500,1921200
1981-04-06,0.000000,4.520833,3.937500,4.416667,4.416667,2839800
1981-04-13,0.000000,4.812500,4.354167,4.791667,4.791667,2514600
1981-04-20,0.000000,5.166667,4.708333,4.937500,4.937500,3623400
1981-04-27,0.000000,4.979167,4.416667,4.437500,4.437500,2061600
1981-05-04,0.000000,4.687500,4.187500,4.562500,4.562500,828000
1981-05-11,0.000000,4.750000,4.333333,4.541667,4.541667,974400
1981-05-18,0.000000,4.666667,4.333333,4.458333,4.458333,1096200
1981-05-25,0.000000,4.833333,4.416667,4.750000,4.750000,1621200
1981-06-01,0.000000,4.958333,4.229167,4.375000,4.375000,2041800
1981-06-08,0.000000,4.500000,4.229167,4.458333,4.458333,825000
1981-06-15,0.000000,4.520833,3.916667,4.062500,4.062500,1389000
1981-06-22,0.000000,4.166667,3.770833,4.125000,4.125000,1586400
1981-06-29,0.000000,4.166667,3.500000,3.583333,3.583333,1893000
1981-07-06,0.000000,3.875000,3.500000,3.541667,3.541667,1311000
1981-07-13,0.000000,3.666667,3.500000,3.645833,3.645833,643800
1981-07-20,0.000000,3.666667,3.541667,3.604167,3.604167,529200
1981-07-27,0.000000,3.625000,3.333333,3.333333,3.333333,1167000
1981-08-03,0.000000,3.395833,3.187500,3.229167,3.229167,1270800
1981-08-10,0.000000,3.479167,3.187500,3.479167,3.479167,699600
1981-08-17,0.000000,3.541667,3.291667,3.291667,3.291667,1317000
1981-08-24,0.000000,3.229167,3.083333,3.145833,3.145833,782400
1981-08-31,0.000000,3.166667,2.875000,2.979167,2.979167,1229400
1981-09-07,0.000000,3.145833,2.833333,3.145833,3.145833,986400
1981-09-14,0.000000,3.166667,2.666667,2.750000,2.750000,1349400
1981-09-21,0.000000,2.770833,2.437500,2.458333,2.458333,1693200
1981-09-28,0.000000,3.041667,2.333333,2.979167,2.979167,1342200
1981-10-05,0.000000,3.083333,2.812500,2.937500,2.937500,1317000
1981-10-12,0.000000,3.291667,2.958333,3.125000,3.125000,1429800
1981-10-19,0.000000,3.416667,2.958333,2.979167,2.979167,1759200
1981-10-26,0.000000,3.333333,2.958333,3.291667,3.291667,1141200
1981-11-02,0.000000,3.541667,3.166667,3.229167,3.229167,1035600
1981-11-09,0.000000,3.291667,2.875000,2.875000,2.875000,1014000
1981-11-16,0.000000,2.937500,2.791667,2.895833,2.895833,834600
1981-11-23,0.000000,3.000000,2.729167,2.729167,2.729167,942000
1981-11-30,0.000000,3.125000,2.729167,3.041667,3.041667,1389600
1981-12-07,0.000000,3.062500,2.875000,2.979167,2.979167,760800
1981-12-14,0.000000,3.020833,2.875000,3.000000,3.000000,805800
1981-12-21,0.000000,3.062500,2.958333,3.020833,3.020833,646200
1981-12-28,0.000000,3.062500,2.895833,2.937500,2.937500,739800
1982-01-04,0.000000,3.000000,2.750000,2.770833,2.770833,621000
1982-01-11,0.000000,2.791667,2.583333,2.666667,2.666667,1965000
1982-01-18,0.000000,2.916667,2.625000,2.875000,2.875000,1068600
1982-01-25,0.000000,3.333333,2.833333,3.270833,3.270833,1505400
1982-02-01,0.000000,3.291667,2.958333,3.145833,3.145833,2371800
1982-02-08,0.000000,3.104167,2.895833,2.916667,2.916667,717600
1982-02-15,0.000000,3.104167,2.791667,2.958333,2.958333,872400
1982-02-22,0.000000,3.187500,2.833333,3.125000,3.125000,1801800
1982-03-01,0.000000,3.333333,3.083333,3.250000,3.250000,1887600
1982-03-08,0.000000,3.291667,2.979167,3.145833,3.145833,3253200
1982-03-15,0.000000,3.875000,3.125000,3.791667,3.791667,3085800
1982-03-22,0.000000,3.958333,3.645833,3.666667,3.666667,2404200
1982-03-29,0.000000,3.958333,3.625000,3.916667,3.916667,975000
1982-04-05,0.000000,4.062500,3.833333,4.000000,4.000000,1925400
1982-04-12,0.000000,4.125000,3.916667,4.062500,4.062500,2793000
1982-04-19,0.000000,4.125000,3.750000,4.104167,4.104167,1835400
1982-04-26,0.000000,4.208333,3.895833,4.166667,4.166667,1873800
1982-05-03,0.000000,4.333333,4.166667,4.250000,4.250000,1850400
1982-05-10,0.000000,4.520833,4.229167,4.500000,4.500000,3328200
1982-05-17,0.000000,4.458333,3.979167,4.083333,4.083333,1838400
1982-05-24,0.000000,4.166667,3.854167,3.916667,3.916667,1161000
1982-05-31,0.000000,4.041667,3.770833,3.770833,3.770833,916200
1982-06-07,0.000000,4.020833,3.687500,4.020833,4.020833,1212000
1982-06-14,0.000000,4.020833,3.708333,3.729167,3.729167,948600
1982-06-21,0.000000,4.166667,3.708333,3.895833,3.895833,2230200
1982-06-28,0.000000,4.125000,3.875000,3.895833,3.895833,1235400
1982-07-05,0.000000,3.958333,3.750000,3.916667,3.916667,722400
1982-07-12,0.000000,4.395833,3.937500,4.375000,4.375000,4650600
1982-07-19,0.000000,4.541667,4.312500,4.520833,4.520833,2048400
1982-07-26,0.000000,4.541667,4.208333,4.208333,4.208333,1529400
1982-08-02,0.000000,4.375000,3.854167,3.875000,3.875000,2573400
1982-08-09,0.000000,3.854167,3.270833,3.500000,3.500000,2395200
1982-08-16,0.000000,4.166667,3.437500,4.000000,4.000000,5131200
1982-08-23,0.000000,5.083333,3.958333,4.750000,4.750000,6085200
1982-08-30,0.000000,5.229167,4.687500,5.187500,5.187500,4440000
1982-09-06,0.000000,5.187500,4.687500,4.875000,4.875000,2023200
1982-09-13,0.000000,5.166667,4.625000,4.645833,4.645833,2594400
1982-09-20,0.000000,5.166667,4.562500,4.750000,4.750000,3210000
1982-09-27,0.000000,4.645833,4.312500,4.500000,4.500000,2502000
1982-10-04,4.437500,5.250000,4.375000,5.125000,5.125000,2632200
1982-10-11,0.000000,5.416667,4.708333,5.291667,5.291667,4579200
1982-10-18,0.000000,6.166667,5.250000,6.125000,6.125000,3023400
1982-10-25,0.000000,6.156250,5.375000,5.937500,5.937500,3362000
1982-11-01,0.000000,7.000000,5.843750,6.875000,6.875000,2378000
1982-11-08,0.000000,6.750000,5.906250,6.156250,6.156250,2324000
1982-11-15,0.000000,6.187500,5.687500,5.875000,5.875000,1620400
1982-11-22,0.000000,5.937500,5.625000,5.687500,5.687500,805600
1982-11-29,0.000000,6.437500,5.468750,5.812500,5.812500,2015200
1982-12-06,0.000000,6.781250,5.687500,5.875000,5.875000,3208400
1982-12-13,0.000000,6.187500,5.687500,6.187500,6.187500,2025200
1982-12-20,0.000000,6.875000,6.093750,6.656250,6.656250,1594400
1982-12-27,0.000000,6.656250,6.156250,6.281250,6.281250,1355600
1983-01-03,0.000000,6.875000,6.062500,6.781250,6.781250,4266800
1983-01-10,0.000000,8.000000,6.718750,8.000000,8.000000,4393200
1983-01-17,0.000000,9.000000,8.187500,8.562500,8.562500,6490000
1983-01-24,0.000000,8.906250,7.843750,8.781250,8.781250,4164400
1983-01-31,0.000000,9.500000,8.687500,9.500000,9.500000,3624800
1983-02-07,0.000000,9.593750,8.187500,8.781250,8.781250,3113600
1983-02-14,0.000000,9.500000,8.656250,8.937500,8.937500,3227200
1983-02-21,0.000000,9.812500,8.812500,9.312500,9.312500,2452800
1983-02-28,0.000000,9.312500,8.562500,8.750000,8.750000,3386000
1983-03-07,0.000000,8.750000,8.062500,8.156250,8.156250,2617200
1983-03-14,0.000000,9.125000,8.187500,8.875000,8.875000,2026800
1983-03-21,8.968750,9.062500,8.468750,8.875000,8.875000,1869600
1983-03-28,8.843750,9.562500,8.312500,8.375000,8.375000,2332400
1983-04-04,8.250000,8.468750,7.750000,8.156250,8.156250,3781600
1983-04-11,8.281250,9.531250,8.218750,9.406250,9.406250,5216000
1983-04-18,9.367188,9.718750,9.000000,9.250000,9.250000,2984800
1983-04-25,9.062500,9.531250,8.812500,9.500000,9.500000,1515600
1983-05-02,9.406250,11.593750,9.281250,11.468750,11.468750,4159600
1983-05-09,11.250000,11.593750,10.875000,11.531250,11.531250,2822000
1983-05-16,11.406250,11.750000,11.125000,11.750000,11.750000,2355600
1983-05-23,11.968750,13.250000,11.718750,12.406250,12.406250,3682000
1983-05-30,12.125000,13.500000,12.093750,13.406250,13.406250,2499600
1983-06-06,13.375000,13.656250,12.968750,13.062500,13.062500,1773200
1983-06-13,13.125000,13.812500,12.593750,13.656250,13.656250,1119600
1983-06-20,13.625000,16.656250,13.093750,16.062500,16.062500,3337600
1983-06-27,16.062500,16.625000,15.250000,16.156250,16.156250,3426000
1983-07-04,15.937500,16.187500,15.468750,15.875000,15.875000,1612800
1983-07-11,15.812500,16.406250,14.250000,14.437500,14.437500,2521200
1983-07-18,14.312500,17.437500,13.937500,16.281250,16.281250,3315600
1983-07-25,16.156250,16.843750,14.531250,14.875000,14.875000,2158000
1983-08-01,14.750000,15.218750,13.937500,14.187500,14.187500,2323600
1983-08-08,14.093750,14.343750,13.031250,14.187500,14.187500,2899600
1983-08-15,14.250000,14.531250,13.000000,13.687500,13.687500,2424000
1983-08-22,13.937500,14.812500,12.843750,14.625000,14.625000,2328200
1983-08-29,14.375000,16.000000,14.125000,16.000000,16.000000,2681000
1983-09-05,16.500000,16.937500,15.000000,15.187500,15.187500,2627000
1983-09-12,15.875000,15.875000,14.000000,15.250000,15.250000,3180200
1983-09-19,15.437500,16.375000,14.812500,15.375000,15.375000,3089600
1983-09-26,15.562500,16.375000,14.500000,14.500000,14.500000,3616800
1983-10-03,14.625000,16.312500,14.562500,16.312500,16.312500,4332400
1983-10-10,16.125000,16.812500,15.500000,16.000000,16.000000,2567600
1983-10-17,16.250000,16.562500,14.000000,14.750000,14.750000,4086200
1983-10-24,14.562500,16.250000,14.437500,15.500000,15.500000,2799000
1983-10-31,15.687500,15.687500,14.500000,14.625000,14.625000,2200200
1983-11-07,14.562500,16.125000,13.375000,16.125000,16.125000,3772000
1983-11-14,16.250000,16.812500,15.687500,16.750000,16.750000,2747200
1983-11-21,16.812500,17.250000,16.000000,16.687500,16.687500,1423400
1983-11-28,16.687500,17.750000,16.437500,16.875000,16.875000,3629800
1983-12-05,16.812500,17.375000,16.125000,16.375000,16.375000,2781200
1983-12-12,16.375000,17.000000,15.812500,16.000000,16.000000,2900800
1983-12-19,16.187500,16.625000,15.750000,16.187500,16.187500,1745200
1983-12-26,16.250000,17.125000,16.250000,16.812500,16.812500,1213600
1984-01-02,16.812500,18.437500,16.750000,18.000000,18.000000,3610000
1984-01-09,18.500000,18.750000,17.500000,18.000000,18.000000,5622000
1984-01-16,18.062500,18.562500,17.562500,17.625000,17.625000,2198400
1984-01-23,17.500000,17.562500,14.500000,15.062500,15.062500,4564000
1984-01-30,15.125000,15.125000,13.812500,14.250000,14.250000,6325600
1984-02-06,14.000000,14.187500,12.562500,13.187500,13.187500,5423800
1984-02-13,13.250000,14.062500,12.812500,13.500000,13.500000,2369400
1984-02-20,13.625000,14.937500,13.000000,14.875000,14.875000,2242000
1984-02-27,15.000000,15.250000,13.875000,14.500000,14.500000,3914000
1984-03-05,14.625000,14.687500,13.187500,13.750000,13.750000,2672600
1984-03-12,13.937500,15.875000,13.937500,15.250000,15.250000,4158000
1984-03-19,15.125000,15.187500,13.812500,13.937500,13.937500,2244800
1984-03-26,13.812500,14.812500,13.625000,14.250000,14.250000,1991200
1984-04-02,14.625000,14.812500,13.375000,13.875000,13.875000,4839000
1984-04-09,14.000000,15.687500,13.937500,15.250000,15.250000,4165800
1984-04-16,15.187500,16.687500,14.937500,16.125000,16.125000,5099000
1984-04-23,16.062500,17.250000,15.687500,17.125000,17.125000,4978400
1984-04-30,17.187500,17.687500,16.000000,16.125000,16.125000,4474600
1984-05-07,16.000000,16.875000,15.875000,16.562500,16.562500,3734800
